GLD,SPDR Gold Shares,Commodities
SLV,iShares Silver Trust,Commodities
UNG,United States Natural Gas Fund,Commodities
USO,"United States Oil Fund, LP",Commodities
DBB,Invesco DB Base Metals Fund,Commodities
DBE,Invesco DB Energy Fund,Commodities
VTI,Vanguard Total Stock Market ETF,Equities
VO,Vanguard Mid-Cap ETF,Equities
VB,Vanguard Small-Cap ETF,Equities
VEU,Vanguard FTSE All-Wld ex-US ETF,Equities
VSS,Vanguard FTSE All-Wld ex-US SmCp ETF,Equities
VWO,Vanguard FTSE Emerging Markets ETF,Equities
SHY,iShares 1-3 Year Treasury Bond ETF,Income
BND,Vanguard Total Bond Market ETF,Income
TLT,iShares 20+ Year Treasury Bond ETF,Income
TIP,iShares TIPS Bond ETF,Income
MUB,iShares National Muni Bond ETF,Income
RWR,SPDR Dow Jones REIT ETF,Real Estate
ICF,iShares Cohen & Steers REIT ETF,Real Estate
USRT,iShares Core U.S. REIT ETF,Real Estate
